Stock Information for Ticker: TSLA
High         1.964112e+02
Low          1.878469e+02
Open         1.922876e+02
Close        1.923936e+02
Volume       4.441423e+07
Adj Close    1.923936e+02


              High          Low         Open        Close        Volume    Adj Close
count  1258.000000  1258.000000  1258.000000  1258.000000  1.258000e+03  1258.000000
mean    196.411180   187.846851   192.287628   192.393562  4.441423e+07   192.393562
std     240.219441   229.904260   235.359001   235.411583  3.034186e+07   235.411583
min      36.945999    35.397999    36.220001    35.793999  9.387500e+06    35.793999
25%      56.757999    54.983500    55.746999    55.819499  2.474150e+07    55.819499
50%      68.577000    66.043999    67.264000    67.103001  3.496850e+07    67.103001
75%     196.346500   182.348003   187.176498   189.521496  5.211238e+07   189.521496
max     900.400024   871.599976   891.380005   883.090027  3.046940e+08   883.090027


             ds        trend   yhat_lower   yhat_upper  trend_lower  trend_upper  additive_terms  additive_terms_lower  additive_terms_upper    weekly  weekly_lower  weekly_upper     yearly  yearly_lower  yearly_upper  multiplicative_terms  multiplicative_terms_lower  multiplicative_terms_upper         yhat
69   2016-12-16    40.046079     1.814398   116.733490    40.046079    40.046079       18.648514             18.648514             18.648514 -4.229679     -4.229679     -4.229679  22.878193     22.878193     22.878193                   0.0                         0.0                         0.0    58.694593
70   2016-12-19    40.583530     0.460051   119.063092    40.583530    40.583530       21.745213             21.745213             21.745213 -2.244307     -2.244307     -2.244307  23.989520     23.989520     23.989520                   0.0                         0.0                         0.0    62.328743
71   2016-12-20    40.762680     4.418131   120.336403    40.762680    40.762680       21.729829             21.729829             21.729829 -2.851961     -2.851961     -2.851961  24.581789     24.581789     24.581789                   0.0                         0.0                         0.0    62.492509
72   2016-12-21    40.941830     5.538064   127.003164    40.941830    40.941830       22.016406             22.016406             22.016406 -3.286707     -3.286707     -3.286707  25.303113     25.303113     25.303113                   0.0                         0.0                         0.0    62.958236
73   2016-12-22    41.120981     2.396515   125.716082    41.120981    41.120981       22.491407             22.491407             22.491407 -3.668538     -3.668538     -3.668538  26.159946     26.159946     26.159946                   0.0                         0.0                         0.0    63.612388
74   2016-12-23    41.300131     2.830852   120.994490    41.300131    41.300131       22.925925             22.925925             22.925925 -4.229679     -4.229679     -4.229679  27.155604     27.155604     27.155604                   0.0                         0.0                         0.0    64.226056
75   2016-12-27    42.016732    11.859279   128.627561    42.016732    42.016732       29.631615             29.631615             29.631615 -2.851961     -2.851961     -2.851961  32.483575     32.483575     32.483575                   0.0                         0.0                         0.0    71.648347
76   2016-12-28    42.195883    12.777408   130.580865    42.195883    42.195883       30.828871             30.828871             30.828871 -3.286707     -3.286707     -3.286707  34.115578     34.115578     34.115578                   0.0                         0.0                         0.0    73.024753
77   2016-12-29    42.375033    20.254043   134.783836    42.375033    42.375033       32.175538             32.175538             32.175538 -3.668538     -3.668538     -3.668538  35.844077     35.844077     35.844077                   0.0                         0.0                         0.0    74.550571
78   2016-12-30    42.554183    17.563092   134.877785    42.554183    42.554183       33.424023             33.424023             33.424023 -4.229679     -4.229679     -4.229679  37.653702     37.653702     37.653702                   0.0                         0.0                         0.0    75.978207
